company,field,gap
上詮,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3363&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
波若威,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3163&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
波若威,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3163&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
波若威,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3163&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
良維,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6290&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
良維,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6290&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
良維,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6290&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
正崴,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2392&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
正崴,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2392&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
正崴,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2392&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
川湖,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2059&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
川湖,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2059&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
川湖,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2059&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
勤誠,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=8210&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
勤誠,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=8210&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
勤誠,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=8210&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
可成,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2474&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
可成,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2474&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
可成,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2474&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
富世達,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6805&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
富世達,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6805&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
